attr_id,usda_tag,name,unit,notes
203,PROCNT,Protein,g,
204,FAT,Total lipid (fat),g,
205,CHOCDF,"Carbohydrate, by difference",g,
207,ASH,Ash,g,
208,ENERC_KCAL,Energy,kcal,
209,STARCH,Starch,g,
210,SUCS,Sucrose,g,
211,GLUS,Glucose (dextrose),g,
212,FRUS,Fructose,g,
213,LACS,Lactose,g,
214,MALS,Maltose,g,
221,ALC,"Alcohol, ethyl",g,
255,WATER,Water,g,
257,NULL,Adjusted Protein,g,
262,CAFFN,Caffeine,mg,
263,THEBRN,Theobromine,mg,
268,ENERC_KJ,Energy,kJ,
269,SUGAR,"Sugars, total",g,
287,GALS,Galactose,g,
291,FIBTG,"Fiber, total dietary",g,
301,CA,"Calcium, Ca",mg,
303,FE,"Iron, Fe",mg,
304,MG,"Magnesium, Mg",mg,
305,P,"Phosphorus, P",mg,
306,K,"Potassium, K",mg,
307,NA,"Sodium, Na",mg,
309,ZN,"Zinc, Zn",mg,
312,CU,"Copper, Cu",mg,
313,FLD,"Fluoride, F",Âµg,
315,MN,"Manganese, Mn",mg,
317,SE,"Selenium, Se",Âµg,
318,VITA_IU,"Vitamin A, IU",IU,
319,RETOL,Retinol,Âµg,
320,VITA_RAE,"Vitamin A, RAE",Âµg,
321,CARTB,"Carotene, beta",Âµg,
322,CARTA,"Carotene, alpha",Âµg,
323,TOCPHA,Vitamin E (alpha-tocopherol),mg,
324,VITD,Vitamin D,IU,
325,ERGCAL,Vitamin D2 (ergocalciferol),Âµg,
326,CHOCAL,Vitamin D3 (cholecalciferol),Âµg,
328,VITD,Vitamin D (D2 + D3),Âµg,
334,CRYPX,"Cryptoxanthin, beta",Âµg,
337,LYCPN,Lycopene,Âµg,
338,LUT+ZEA,Lutein + zeaxanthin,Âµg,
341,TOCPHB,"Tocopherol, beta",mg,
342,TOCPHG,"Tocopherol, gamma",mg,
343,TOCPHD,"Tocopherol, delta",mg,
401,VITC,"Vitamin C, total ascorbic acid",mg,
404,THIA,Thiamin,mg,
405,RIBF,Riboflavin,mg,
406,NIA,Niacin,mg,
410,PANTAC,Pantothenic acid,mg,
415,VITB6A,Vitamin B-6,mg,
417,FOL,"Folate, total",Âµg,
418,VITB12,Vitamin B-12,Âµg,
421,CHOLN,"Choline, total",mg,
428,MK4,Menaquinone-4,Âµg,
429,VITK1D,Dihydrophylloquinone,Âµg,
430,VITK1,Vitamin K (phylloquinone),Âµg,
431,FOLAC,Folic acid,Âµg,
432,FOLFD,"Folate, food",Âµg,
435,FOLDFE,"Folate, DFE",Âµg,
454,BETN,Betaine,mg,
501,TRP_G,Tryptophan,g,
502,THR_G,Threonine,g,
503,ILE_G,Isoleucine,g,
504,LEU_G,Leucine,g,
505,LYS_G,Lysine,g,
506,MET_G,Methionine,g,
507,CYS_G,Cystine,g,
508,PHE_G,Phenylalanine,g,
509,TYR_G,Tyrosine,g,
510,VAL_G,Valine,g,
511,ARG_G,Arginine,g,
512,HISTN_G,Histidine,g,
513,ALA_G,Alanine,g,
514,ASP_G,Aspartic acid,g,
515,GLU_G,Glutamic acid,g,
516,GLY_G,Glycine,g,
517,PRO_G,Proline,g,
518,SER_G,Serine,g,
521,HYP,Hydroxyproline,g,
573,NULL,"Vitamin E, added",mg,
578,NULL,"Vitamin B-12, added",Âµg,
601,CHOLE,Cholesterol,mg,
605,FATRN,"Fatty acids, total trans",g,
606,FASAT,"Fatty acids, total saturated",g,
607,F4D0,4:00,g,
608,F6D0,6:00,g,
609,F8D0,8:00,g,
610,F10D0,10:00,g,
611,F12D0,12:00,g,
612,F14D0,14:00,g,
613,F16D0,16:00,g,
614,F18D0,18:00,g,
615,F20D0,20:00,g,
617,F18D1,18:1 undifferentiated,g,
618,F18D2,18:2 undifferentiated,g,
619,F18D3,18:3 undifferentiated,g,
620,F20D4,20:4 undifferentiated,g,
621,F22D6,22:6 n-3 (DHA),g,omega-3 docosahexaenoic acid 
624,F22D0,22:00,g,
625,F14D1,14:01,g,
626,F16D1,16:1 undifferentiated,g,
627,F18D4,18:04,g,
628,F20D1,20:01,g,
629,F20D5,20:5 n-3 (EPA),g,omega-3 eicosapentaenoic acid
630,F22D1,22:1 undifferentiated,g,
631,F22D5,22:5 n-3 (DPA),g,
636,PHYSTR,Phytosterols,mg,
638,STID7,Stigmasterol,mg,
639,CAMD5,Campesterol,mg,
641,SITSTR,Beta-sitosterol,mg,
645,FAMS,"Fatty acids, total monounsaturated",g,
646,FAPU,"Fatty acids, total polyunsaturated",g,
652,F15D0,15:00,g,
653,F17D0,17:00,g,
654,F24D0,24:00:00,g,
662,F16D1T,16:1 t,g,
663,F18D1T,18:1 t,g,
664,NULL,22:1 t,g,
665,NULL,18:2 t not further defined,g,
666,NULL,18:2 i,g,
669,F18D2TT,"18:2 t,t",g,
670,F18D2CLA,18:2 CLAs,g,
671,F24D1C,24:1 c,g,
672,F20D2CN6,"20:2 n-6 c,c",g,
673,F16D1C,16:1 c,g,
674,F18D1C,18:1 c,g,
675,F18D2CN6,"18:2 n-6 c,c",g,
676,NULL,22:1 c,g,
685,F18D3CN6,"18:3 n-6 c,c,c",g,
687,F17D1,17:01,g,
689,F20D3,20:3 undifferentiated,g,
693,FATRNM,"Fatty acids, total trans-monoenoic",g,
695,FATRNP,"Fatty acids, total trans-polyenoic",g,
696,F13D0,13:00,g,
697,F15D1,15:01,g,
851,F18D3CN3,"18:3 n-3 c,c,c (ALA)",g,omega-3 alpha-linolenic acid
852,F20D3N3,20:3 n-3,g,
853,F20D3N6,20:3 n-6,g,
855,F20D4N6,20:4 n-6,g,
856,NULL,18:3i,g,
857,F21D5,21:05,g,
858,F22D4,22:04,g,
859,F18D1TN7,18:1-11t (18:1t n-7),g,